deck_tag,deck_file,artboard,figure,builder_in_this_repo,caption
newfig,NEW_FIGURES_20260804.ai,4,1-sisterless,figures/group_timestrips.py,1-sisterless example timestrip (20260420 ptk2 eyfp cdc20 1 ablation_20)
newfig,NEW_FIGURES_20260804.ai,4,1-sisterless_aligned__piece1,figures/group_timestrips.py,
newfig,NEW_FIGURES_20260804.ai,4,1-sisterless_aligned__piece2,figures/group_timestrips.py,
newfig,NEW_FIGURES_20260804.ai,4,1-sisterless_aligned__piece3,figures/group_timestrips.py,
newfig,NEW_FIGURES_20260804.ai,4,1-sisterless_aligned__piece4,figures/group_timestrips.py,
newfig,NEW_FIGURES_20260804.ai,4,2-sisterless,figures/group_timestrips.py,2-sisterless example timestrip (20260417 ptk2 eyfp cdc20 ablation_19)
0813supp,META_FIGURES_20260813_supplemental.ai,1,2-sisterless_aligned__piece1,figures/group_timestrips.py,
pub0813,META_FIGURES_20260813_supplemental_PUBLICATION_20260820.ai,1,2-sisterless_aligned__piece1,figures/group_timestrips.py,
0813supp,META_FIGURES_20260813_supplemental.ai,1,2-sisterless_aligned__piece2,figures/group_timestrips.py,
pub0813,META_FIGURES_20260813_supplemental_PUBLICATION_20260820.ai,1,2-sisterless_aligned__piece2,figures/group_timestrips.py,
0813supp,META_FIGURES_20260813_supplemental.ai,1,2-sisterless_aligned__piece3,figures/group_timestrips.py,
pub0813,META_FIGURES_20260813_supplemental_PUBLICATION_20260820.ai,1,2-sisterless_aligned__piece3,figures/group_timestrips.py,
0813supp,META_FIGURES_20260813_supplemental.ai,1,2-sisterless_aligned__piece4,figures/group_timestrips.py,
pub0813,META_FIGURES_20260813_supplemental_PUBLICATION_20260820.ai,1,2-sisterless_aligned__piece4,figures/group_timestrips.py,
0813supp,META_FIGURES_20260813_supplemental.ai,1,2-sisterless_aligned__piece5,figures/group_timestrips.py,
pub0813,META_FIGURES_20260813_supplemental_PUBLICATION_20260820.ai,1,2-sisterless_aligned__piece5,figures/group_timestrips.py,
0813supp,META_FIGURES_20260813_supplemental.ai,1,20250711_double_ablation_18_frap0_aligned,figures/group_frap_timestrips.py,"FRAP timestrip — 20250711 double ablation_18, first FRAP event, aligned crop."
pub0813,META_FIGURES_20260813_supplemental_PUBLICATION_20260820.ai,1,20250711_double_ablation_18_frap0_aligned,figures/group_frap_timestrips.py,"FRAP timestrip — 20250711 double ablation_18, first FRAP event, aligned crop."
newfig,NEW_FIGURES_20260804.ai,4,3-sisterless,figures/group_timestrips.py,3-sisterless example timestrip (20251104 ablations_5)
newfig,NEW_FIGURES_20260804.ai,3,3-sisterless_aligned__piece1,figures/group_timestrips.py,
newfig,NEW_FIGURES_20260804.ai,3,3-sisterless_aligned__piece2,figures/group_timestrips.py,
newfig,NEW_FIGURES_20260804.ai,3,3-sisterless_aligned__piece3,figures/group_timestrips.py,
newfig,NEW_FIGURES_20260804.ai,3,3-sisterless_aligned__piece4,figures/group_timestrips.py,
pub0814,META_FIGURES_20260814_PUBLICATION_20260820.ai,5,AB5_EXCERPT_1sisterless_11__piece1,figures/custom_ab5_excerpts_20260817.py,
pub0814,META_FIGURES_20260814_PUBLICATION_20260820.ai,5,AB5_EXCERPT_1sisterless_11__piece2,figures/custom_ab5_excerpts_20260817.py,
0814,META_FIGURES_20260814.ai,5,AB5_EXCERPT_hidden_in_plate,figures/custom_ab5_excerpts_20260817.py,Excerpt from the artboard-5 timestrip: the kinetochore hidden inside the plate.
pub0814,META_FIGURES_20260814_PUBLICATION_20260820.ai,5,AB5_EXCERPT_hidden_in_plate,figures/custom_ab5_excerpts_20260817.py,Excerpt from the artboard-5 timestrip: the kinetochore hidden inside the plate.
pub0814,META_FIGURES_20260814_PUBLICATION_20260820.ai,5,AB5_EXCERPT_polar__piece1,figures/custom_ab5_excerpts_20260817.py,
pub0814,META_FIGURES_20260814_PUBLICATION_20260820.ai,5,AB5_EXCERPT_polar__piece2,figures/custom_ab5_excerpts_20260817.py,
supp,other_20260820.ai,3,ALLcohorts_metaDur_vs_arearate,figures/custom_shape_rate_vs_metaphase.py,"Metaphase duration vs area-loss rate (all cohorts, whole trace)"
supp,other_20260820.ai,3,ALLcohorts_metaDur_vs_roundingrate,figures/custom_shape_rate_vs_metaphase.py,"Metaphase duration vs rounding rate (all cohorts, whole trace)"
supp,other_20260820.ai,1,DEMO_area_with_timestrips__piece1,figures/build_demo_timestrips.py,
supp,other_20260820.ai,1,DEMO_area_with_timestrips__piece2,figures/build_demo_timestrips.py,
supp,other_20260820.ai,1,DEMO_area_with_timestrips__piece3,figures/build_demo_timestrips.py,
supp,other_20260820.ai,1,DEMO_area_with_timestrips__piece4,figures/build_demo_timestrips.py,
supp,other_20260820.ai,1,DEMO_area_with_timestrips__piece5,figures/build_demo_timestrips.py,
supp,other_20260820.ai,1,DEMO_area_with_timestrips__piece6,figures/build_demo_timestrips.py,
supp,other_20260820.ai,1,DEMO_area_with_timestrips__piece7,figures/build_demo_timestrips.py,
supp,other_20260820.ai,1,DEMO_lineplot_shape_by_metaphase_single__p1,figures/custom_lineplot_shape_by_metaphase.py,"Panel 1 of 2 from DEMO_lineplot_shape_by_metaphase_single. DEMO shape through metaphase — per-cell RATE (box/violin), fastest/slowest metaphase thirds, 1-ablation (single) on-target (rebuilt 2026-08-03, feedback M2-08: binned comparison, not a line plot)"
supp,other_20260820.ai,1,DEMO_lineplot_shape_by_metaphase_single__p2,figures/custom_lineplot_shape_by_metaphase.py,"Panel 2 of 2 from DEMO_lineplot_shape_by_metaphase_single. DEMO shape through metaphase — per-cell RATE (box/violin), fastest/slowest metaphase thirds, 1-ablation (single) on-target (rebuilt 2026-08-03, feedback M2-08: binned comparison, not a line plot)"
supp,other_20260820.ai,3,DEMO_shape_rate_vs_metaphase_single_and_triple__p1,figures/custom_metafig_subitems_20260729.py,"Panel 1 of 4 from DEMO_shape_rate_vs_metaphase_single_and_triple. Shape-change rate vs metaphase duration - single, triple and unModified side by side"
supp,other_20260820.ai,3,DEMO_shape_rate_vs_metaphase_single_and_triple__p2,figures/custom_metafig_subitems_20260729.py,"Panel 2 of 4 from DEMO_shape_rate_vs_metaphase_single_and_triple. Shape-change rate vs metaphase duration - single, triple and unModified side by side"
supp,other_20260820.ai,3,DEMO_shape_rate_vs_metaphase_single_and_triple__p3,figures/custom_metafig_subitems_20260729.py,"Panel 3 of 4 from DEMO_shape_rate_vs_metaphase_single_and_triple. Shape-change rate vs metaphase duration - single, triple and unModified side by side"
supp,other_20260820.ai,3,DEMO_shape_rate_vs_metaphase_single_and_triple__p4,figures/custom_metafig_subitems_20260729.py,"Panel 4 of 4 from DEMO_shape_rate_vs_metaphase_single_and_triple. Shape-change rate vs metaphase duration - single, triple and unModified side by side"
newfig,NEW_FIGURES_20260804.ai,3,G10_kt_intensity_over_metaphase_by_state,figures/custom_todo0819b_kt_size_intensity.py,"Kinetochore Cdc20 intensity through metaphase, by attachment state"
newfig,NEW_FIGURES_20260804.ai,3,G10_kt_size_over_metaphase_by_state,figures/custom_todo0819b_kt_size_intensity.py,"Kinetochore size through metaphase, by attachment state"
newfig,NEW_FIGURES_20260804.ai,3,G10_offtarget_unmod_poolability,figures/custom_todo0819b_pooling_test.py,"Poolability of off-target vs unmodified, per figure"
newfig,NEW_FIGURES_20260804.ai,3,G10_osc_amplitude_by_attachment,figures/custom_todo0819b_oscillations.py,"Oscillation amplitude by attachment type, in metaphase"
newfig,NEW_FIGURES_20260804.ai,3,G10_osc_decay_over_metaphase,figures/custom_todo0819b_oscillations.py,"Does oscillation amplitude fall through metaphase? Paired kinetochores, per cell type"
newfig,NEW_FIGURES_20260804.ai,3,G10_osc_model_waves,figures/custom_todo0819b_oscillations.py,Model oscillation curves by attachment type
newfig,NEW_FIGURES_20260804.ai,3,G10_osc_period_by_attachment,figures/custom_todo0819b_oscillations.py,"Oscillation period by attachment type, in metaphase"
newfig,NEW_FIGURES_20260804.ai,3,G10_osc_period_over_metaphase,figures/custom_todo0819b_oscillations.py,"Does oscillation period change through metaphase? Paired kinetochores, per cell type"
newfig,NEW_FIGURES_20260804.ai,3,G10_osc_q1_vs_q4,figures/custom_todo0819b_oscillations.py,"Paired-KT oscillation amplitude, first vs last quarter of metaphase"
