figure,panel,figure_piece,script,plot_id,builder,code_kind,data_rows,n_cells
Figure 1,B,Figure 1B,Figure 1B.py,G5_item4_hec1_timestrip_xy5,G5_item4_hec1_timestrip_xy5__group5_hec1_timestrip.py,archived copy,1,1
Figure 1,D,Figure 1D,Figure 1D.py,nf9_unmanipulated-control__20250320_ptk_yfpcdc20__1_xy3,nf9_unmanipulated-control__20250320_ptk_yfpcdc20__1_xy3__group_timestrips.py,archived copy,6,1
Figure 1,F,Figure 1F (1) nf10_1-sisterless-persistent-polar__20250402_ptk_yfpcdc20_2,Figure 1F (1) nf10_1-sisterless-persistent-polar__20250402_ptk_yfpcdc20_2.py,nf10_1-sisterless-persistent-polar__20250402_ptk_yfpcdc20_2,nf10_1-sisterless-persistent-polar__20250402_ptk_yfpcdc20_2__group_timestrips.py,archived copy,8,1
Figure 1,F,Figure 1F (2) 2-sisterless_aligned,Figure 1F (2) 2-sisterless_aligned.py,2-sisterless_aligned,2-sisterless_aligned__group_timestrips.py,archived copy,6,1
Figure 1,F,Figure 1F (3) nf9_3-sisterless__20260417_ptk2_eyfp_cdc20_ablation_18,Figure 1F (3) nf9_3-sisterless__20260417_ptk2_eyfp_cdc20_ablation_18.py,nf9_3-sisterless__20260417_ptk2_eyfp_cdc20_ablation_18,nf9_3-sisterless__20260417_ptk2_eyfp_cdc20_ablation_18__group_timestrips.py,archived copy,13,1
Figure 1,G,Figure 1G,Figure 1G.py,nf10_off-target__20250402_ptk_yfpcdc20_22,nf10_off-target__20250402_ptk_yfpcdc20_22__group_timestrips.py,archived copy,10,1
Figure 1,H,Figure 1H,Figure 1H.py,G5_mad1_timestrip_20260310_ptk2_eyfp_mad1_14_aligned,G5_mad1_timestrip_20260310_ptk2_eyfp_mad1_14_aligned__group5_mad1_examples.py,archived copy,1,1
Figure 1,I,Figure 1I,Figure 1I.py,G4_prepost_intensity,G4_prepost_intensity__group4_prepost.py,archived copy,182,54
Figure 1 - Supplement 1,A,Figure 1 - Supplement 1A,Figure 1 - Supplement 1A.py,nf9_double-chromosome__20260420_ptk2_eyfp_cdc20_1_ablation_71,nf9_double-chromosome__20260420_ptk2_eyfp_cdc20_1_ablation_71__group_timestrips.py,archived copy,6,1
Figure 1 - Supplement 1,B,Figure 1 - Supplement 1B (1) G5_mad1_timestrip_20260310_ptk2_eyfp_mad1_8_aligned,Figure 1 - Supplement 1B (1) G5_mad1_timestrip_20260310_ptk2_eyfp_mad1_8_aligned.py,G5_mad1_timestrip_20260310_ptk2_eyfp_mad1_8_aligned,G5_mad1_timestrip_20260310_ptk2_eyfp_mad1_8_aligned__group5_mad1_examples.py,archived copy,1,1
